Line 1 getShape : 41 20
Line 2 columns : 1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19Line 3 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
88 65 58 18 46 57 64 73 11 27 26 28 15 21 94 56 65 75 68
60 57 56 77 86 46 73 1 80 38 74 90 1 49 28 85 82 22 53
96 1 42 47 87 86 50 52 82 45 34 20 72 12 29 46 10 37 76
15 61 57 80 19 79 35 65 22 59 69 0 4 11 92 32 23 54 70
88 86 30 45 45 22 96 73 30 11 44 41 52 0 40 4 89 13 74
23 61 25 32 63 23 70 6 20 36 85 24 75 4 23 45 13 45 82
77 62 91 57 59 39 24 35 35 64 22 21 3 6 64 4 13 87 79
10 76 76 77 26 16 66 32 87 85 11 8 27 45 51 6 86 81 69
61 3 86 64 14 73 86 85 47 51 6 10 22 91 32 68 31 1 49
46 15 14 5 40 35 39 6 77 93 69 3 10 17 77 79 19 42 35
19 55 75 41 97 80 18 63 78 30 15 62 18 58 84 82 5 42 15
92 17 3 11 83 17 46 59 53 90 26 64 76 66 80 50 51 71 66
11 37 49 54 53 27 7 56 10 90 34 67 90 97 53 73 10 34 85
73 17 25 81 43 81 49 87 6 46 4 66 45 2 54 1 31 0 98
74 88 26 46 38 78 51 41 40 99 6 83 84 10 79 87 51 31 32
69 29 69 50 95 41 71 90 32 23 84 70 96 19 61 37 10 42 27
6 79 63 33 18 63 69 69 95 40 53 13 34 90 39 51 30 50 44
7 15 52 93 87 19 75 23 97 42 18 86 21 13 92 8 1 55 79
87 63 92 75 24 58 58 25 51 88 10 63 99 21 80 43 76 0 76
79 79 64 54 34 74 30 16 64 18 64 3 66 43 54 11 90 44 25
60 9 63 88 37 96 38 81 99 7 68 80 58 42 47 30 16 64 10
89 59 3 73 61 62 52 36 84 0 4 62 7 52 14 65 70 1 44
95 73 92 50 67 87 90 51 40 57 48 16 84 73 48 92 22 35 47
29 53 80 92 68 58 5 15 83 70 63 49 3 0 15 1 52 94 12
57 71 51 80 73 35 98 25 97 21 10 38 6 51 45 76 52 53 88
21 99 13 17 24 71 67 92 70 21 60 36 9 0 0 35 67 78 27
64 45 82 53 39 59 68 65 2 10 24 84 77 29 57 97 18 40 42Line 49 drop 1 13 1x39 : false
Line 50 printHead 100 100
1x0 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
71 31 79 34 65 28 82 39 8 27 13 74 24 78 11 71 24 7 56
67 96 63 74 51 91 11 45 87 31 4 15 84 53 62 73 20 11 3
16 74 47 70 83 83 34 36 80 68 76 60 47 42 73 49 78 59 64
14 80 27 65 94 46 76 21 94 20 78 96 52 25 17 92 1 77 1
1 40 16 27 82 13 17 68 58 84 79 31 95 39 22 81 27 86 59
55 44 55 6 1 25 2 83 82 50 76 30 30 88 51 73 10 77 57
26 25 97 41 45 8 76 87 10 7 20 38 46 19 15 74 10 71 86
40 92 25 8 10 73 10 14 53 25 25 21 38 30 86 99 14 28 17
87 95 13 3 47 46 5 82 89 49 11 7 62 75 95 4 20 40 22
42 9 41 95 64 5 80 56 22 37 36 73 50 40 8 56 51 57 15
90 40 81 53 28 84 57 50 3 84 78 45 45 95 71 68 39 19 74
88 65 58 18 46 57 64 73 11 27 26 28 15 21 94 56 65 75 68
60 57 56 77 86 46 73 1 80 38 74 90 1 49 28 85 82 22 53
96 1 42 47 87 86 50 52 82 45 34 20 72 12 29 46 10 37 76
15 61 57 80 19 79 35 65 22 59 69 0 4 11 92 32 23 54 70
88 86 30 45 45 22 96 73 30 11 44 41 52 0 40 4 89 13 74
23 61 25 32 63 23 70 6 20 36 85 24 75 4 23 45 13 45 82
77 62 91 57 59 39 24 35 35 64 22 21 3 6 64 4 13 87 79
10 76 76 77 26 16 66 32 87 85 11 8 27 45 51 6 86 81 69
61 3 86 64 14 73 86 85 47 51 6 10 22 91 32 68 31 1 49
46 15 14 5 40 35 39 6 77 93 69 3 10 17 77 79 19 42 35
19 55 75 41 97 80 18 63 78 30 15 62 18 58 84 82 5 42 15
92 17 3 11 83 17 46 59 53 90 26 64 76 66 80 50 51 71 66
11 37 49 54 53 27 7 56 10 90 34 67 90 97 53 73 10 34 85
73 17 25 81 43 81 49 87 6 46 4 66 45 2 54 1 31 0 98
74 88 26 46 38 78 51 41 40 99 6 83 84 10 79 87 51 31 32
69 29 69 50 95 41 71 90 32 23 84 70 96 19 61 37 10 42 27
6 79 63 33 18 63 69 69 95 40 53 13 34 90 39 51 30 50 44
7 15 52 93 87 19 75 23 97 42 18 86 21 13 92 8 1 55 79
87 63 92 75 24 58 58 25 51 88 10 63 99 21 80 43 76 0 76
79 79 64 54 34 74 30 16 64 18 64 3 66 43 54 11 90 44 25
60 9 63 88 37 96 38 81 99 7 68 80 58 42 47 30 16 64 10
89 59 3 73 61 62 52 36 84 0 4 62 7 52 14 65 70 1 44
95 73 92 50 67 87 90 51 40 57 48 16 84 73 48 92 22 35 47
29 53 80 92 68 58 5 15 83 70 63 49 3 0 15 1 52 94 12
57 71 51 80 73 35 98 25 97 21 10 38 6 51 45 76 52 53 88
21 99 13 17 24 71 67 92 70 21 60 36 9 0 0 35 67 78 27
64 45 82 53 39 59 68 65 2 10 24 84 77 29 57 97 18 40 42Line 51 printHead 100 100
1x0 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
71 31 79 34 65 28 82 39 8 27 13 74 24 78 11 71 24 7 56
67 96 63 74 51 91 11 45 87 31 4 15 84 53 62 73 20 11 3
16 74 47 70 83 83 34 36 80 68 76 60 47 42 73 49 78 59 64
14 80 27 65 94 46 76 21 94 20 78 96 52 25 17 92 1 77 1
1 40 16 27 82 13 17 68 58 84 79 31 95 39 22 81 27 86 59
55 44 55 6 1 25 2 83 82 50 76 30 30 88 51 73 10 77 57
26 25 97 41 45 8 76 87 10 7 20 38 46 19 15 74 10 71 86
40 92 25 8 10 73 10 14 53 25 25 21 38 30 86 99 14 28 17
87 95 13 3 47 46 5 82 89 49 11 7 62 75 95 4 20 40 22
42 9 41 95 64 5 80 56 22 37 36 73 50 40 8 56 51 57 15
90 40 81 53 28 84 57 50 3 84 78 45 45 95 71 68 39 19 74
88 65 58 18 46 57 64 73 11 27 26 28 15 21 94 56 65 75 68
60 57 56 77 86 46 73 1 80 38 74 90 1 49 28 85 82 22 53
96 1 42 47 87 86 50 52 82 45 34 20 72 12 29 46 10 37 76
15 61 57 80 19 79 35 65 22 59 69 0 4 11 92 32 23 54 70
88 86 30 45 45 22 96 73 30 11 44 41 52 0 40 4 89 13 74
23 61 25 32 63 23 70 6 20 36 85 24 75 4 23 45 13 45 82
77 62 91 57 59 39 24 35 35 64 22 21 3 6 64 4 13 87 79
10 76 76 77 26 16 66 32 87 85 11 8 27 45 51 6 86 81 69
61 3 86 64 14 73 86 85 47 51 6 10 22 91 32 68 31 1 49
46 15 14 5 40 35 39 6 77 93 69 3 10 17 77 79 19 42 35
19 55 75 41 97 80 18 63 78 30 15 62 18 58 84 82 5 42 15
92 17 3 11 83 17 46 59 53 90 26 64 76 66 80 50 51 71 66
11 37 49 54 53 27 7 56 10 90 34 67 90 97 53 73 10 34 85
73 17 25 81 43 81 49 87 6 46 4 66 45 2 54 1 31 0 98
74 88 26 46 38 78 51 41 40 99 6 83 84 10 79 87 51 31 32
69 29 69 50 95 41 71 90 32 23 84 70 96 19 61 37 10 42 27
6 79 63 33 18 63 69 69 95 40 53 13 34 90 39 51 30 50 44
7 15 52 93 87 19 75 23 97 42 18 86 21 13 92 8 1 55 79
87 63 92 75 24 58 58 25 51 88 10 63 99 21 80 43 76 0 76
79 79 64 54 34 74 30 16 64 18 64 3 66 43 54 11 90 44 25
60 9 63 88 37 96 38 81 99 7 68 80 58 42 47 30 16 64 10
89 59 3 73 61 62 52 36 84 0 4 62 7 52 14 65 70 1 44
95 73 92 50 67 87 90 51 40 57 48 16 84 73 48 92 22 35 47
29 53 80 92 68 58 5 15 83 70 63 49 3 0 15 1 52 94 12
57 71 51 80 73 35 98 25 97 21 10 38 6 51 45 76 52 53 88
21 99 13 17 24 71 67 92 70 21 60 36 9 0 0 35 67 78 27
64 45 82 53 39 59 68 65 2 10 24 84 77 29 57 97 18 40 42Line 52 extract 34 44 5 44
1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
58 5 15 83 70 63 49 3 0 15 1 52 94 12
35 98 25 97 21 10 38 6 51 45 76 52 53 88
71 67 92 70 21 60 36 9 0 0 35 67 78 27
59 68 65 2 10 24 84 77 29 57 97 18 40 42Line 53 columns : 1x0 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19Line 54 Dataset 
1x0 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
71 31 79 34 65 28 82 39 8 27 13 74 24 78 11 71 24 7 56
67 96 63 74 51 91 11 45 87 31 4 15 84 53 62 73 20 11 3
16 74 47 70 83 83 34 36 80 68 76 60 47 42 73 49 78 59 64
14 80 27 65 94 46 76 21 94 20 78 96 52 25 17 92 1 77 1
1 40 16 27 82 13 17 68 58 84 79 31 95 39 22 81 27 86 59
55 44 55 6 1 25 2 83 82 50 76 30 30 88 51 73 10 77 57
26 25 97 41 45 8 76 87 10 7 20 38 46 19 15 74 10 71 86
40 92 25 8 10 73 10 14 53 25 25 21 38 30 86 99 14 28 17
87 95 13 3 47 46 5 82 89 49 11 7 62 75 95 4 20 40 22
42 9 41 95 64 5 80 56 22 37 36 73 50 40 8 56 51 57 15
90 40 81 53 28 84 57 50 3 84 78 45 45 95 71 68 39 19 74
88 65 58 18 46 57 64 73 11 27 26 28 15 21 94 56 65 75 68
60 57 56 77 86 46 73 1 80 38 74 90 1 49 28 85 82 22 53
96 1 42 47 87 86 50 52 82 45 34 20 72 12 29 46 10 37 76
15 61 57 80 19 79 35 65 22 59 69 0 4 11 92 32 23 54 70
88 86 30 45 45 22 96 73 30 11 44 41 52 0 40 4 89 13 74
23 61 25 32 63 23 70 6 20 36 85 24 75 4 23 45 13 45 82
77 62 91 57 59 39 24 35 35 64 22 21 3 6 64 4 13 87 79
10 76 76 77 26 16 66 32 87 85 11 8 27 45 51 6 86 81 69
61 3 86 64 14 73 86 85 47 51 6 10 22 91 32 68 31 1 49
46 15 14 5 40 35 39 6 77 93 69 3 10 17 77 79 19 42 35
19 55 75 41 97 80 18 63 78 30 15 62 18 58 84 82 5 42 15
92 17 3 11 83 17 46 59 53 90 26 64 76 66 80 50 51 71 66
11 37 49 54 53 27 7 56 10 90 34 67 90 97 53 73 10 34 85
73 17 25 81 43 81 49 87 6 46 4 66 45 2 54 1 31 0 98
74 88 26 46 38 78 51 41 40 99 6 83 84 10 79 87 51 31 32
69 29 69 50 95 41 71 90 32 23 84 70 96 19 61 37 10 42 27
6 79 63 33 18 63 69 69 95 40 53 13 34 90 39 51 30 50 44
7 15 52 93 87 19 75 23 97 42 18 86 21 13 92 8 1 55 79
87 63 92 75 24 58 58 25 51 88 10 63 99 21 80 43 76 0 76
79 79 64 54 34 74 30 16 64 18 64 3 66 43 54 11 90 44 25
60 9 63 88 37 96 38 81 99 7 68 80 58 42 47 30 16 64 10
89 59 3 73 61 62 52 36 84 0 4 62 7 52 14 65 70 1 44
95 73 92 50 67 87 90 51 40 57 48 16 84 73 48 92 22 35 47
29 53 80 92 68 58 5 15 83 70 63 49 3 0 15 1 52 94 12
57 71 51 80 73 35 98 25 97 21 10 38 6 51 45 76 52 53 88
21 99 13 17 24 71 67 92 70 21 60 36 9 0 0 35 67 78 27
64 45 82 53 39 59 68 65 2 10 24 84 77 29 57 97 18 40 42Line 55 printHead 100 100
1x0 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
71 31 79 34 65 28 82 39 8 27 13 74 24 78 11 71 24 7 56
67 96 63 74 51 91 11 45 87 31 4 15 84 53 62 73 20 11 3
16 74 47 70 83 83 34 36 80 68 76 60 47 42 73 49 78 59 64
14 80 27 65 94 46 76 21 94 20 78 96 52 25 17 92 1 77 1
1 40 16 27 82 13 17 68 58 84 79 31 95 39 22 81 27 86 59
55 44 55 6 1 25 2 83 82 50 76 30 30 88 51 73 10 77 57
26 25 97 41 45 8 76 87 10 7 20 38 46 19 15 74 10 71 86
40 92 25 8 10 73 10 14 53 25 25 21 38 30 86 99 14 28 17
87 95 13 3 47 46 5 82 89 49 11 7 62 75 95 4 20 40 22
42 9 41 95 64 5 80 56 22 37 36 73 50 40 8 56 51 57 15
90 40 81 53 28 84 57 50 3 84 78 45 45 95 71 68 39 19 74
88 65 58 18 46 57 64 73 11 27 26 28 15 21 94 56 65 75 68
60 57 56 77 86 46 73 1 80 38 74 90 1 49 28 85 82 22 53
96 1 42 47 87 86 50 52 82 45 34 20 72 12 29 46 10 37 76
15 61 57 80 19 79 35 65 22 59 69 0 4 11 92 32 23 54 70
88 86 30 45 45 22 96 73 30 11 44 41 52 0 40 4 89 13 74
23 61 25 32 63 23 70 6 20 36 85 24 75 4 23 45 13 45 82
77 62 91 57 59 39 24 35 35 64 22 21 3 6 64 4 13 87 79
10 76 76 77 26 16 66 32 87 85 11 8 27 45 51 6 86 81 69
61 3 86 64 14 73 86 85 47 51 6 10 22 91 32 68 31 1 49
46 15 14 5 40 35 39 6 77 93 69 3 10 17 77 79 19 42 35
19 55 75 41 97 80 18 63 78 30 15 62 18 58 84 82 5 42 15
92 17 3 11 83 17 46 59 53 90 26 64 76 66 80 50 51 71 66
11 37 49 54 53 27 7 56 10 90 34 67 90 97 53 73 10 34 85
73 17 25 81 43 81 49 87 6 46 4 66 45 2 54 1 31 0 98
74 88 26 46 38 78 51 41 40 99 6 83 84 10 79 87 51 31 32
69 29 69 50 95 41 71 90 32 23 84 70 96 19 61 37 10 42 27
6 79 63 33 18 63 69 69 95 40 53 13 34 90 39 51 30 50 44
7 15 52 93 87 19 75 23 97 42 18 86 21 13 92 8 1 55 79
87 63 92 75 24 58 58 25 51 88 10 63 99 21 80 43 76 0 76
79 79 64 54 34 74 30 16 64 18 64 3 66 43 54 11 90 44 25
60 9 63 88 37 96 38 81 99 7 68 80 58 42 47 30 16 64 10
89 59 3 73 61 62 52 36 84 0 4 62 7 52 14 65 70 1 44
95 73 92 50 67 87 90 51 40 57 48 16 84 73 48 92 22 35 47
29 53 80 92 68 58 5 15 83 70 63 49 3 0 15 1 52 94 12
57 71 51 80 73 35 98 25 97 21 10 38 6 51 45 76 52 53 88
21 99 13 17 24 71 67 92 70 21 60 36 9 0 0 35 67 78 27
64 45 82 53 39 59 68 65 2 10 24 84 77 29 57 97 18 40 42Line 56 extract 19 49 10 33
1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
6 10 22 91 32 68 31 1 49
69 3 10 17 77 79 19 42 35
15 62 18 58 84 82 5 42 15
26 64 76 66 80 50 51 71 66
34 67 90 97 53 73 10 34 85
4 66 45 2 54 1 31 0 98
6 83 84 10 79 87 51 31 32
84 70 96 19 61 37 10 42 27
53 13 34 90 39 51 30 50 44
18 86 21 13 92 8 1 55 79
10 63 99 21 80 43 76 0 76
64 3 66 43 54 11 90 44 25
68 80 58 42 47 30 16 64 10
4 62 7 52 14 65 70 1 44
48 16 84 73 48 92 22 35 47
63 49 3 0 15 1 52 94 12
10 38 6 51 45 76 52 53 88
60 36 9 0 0 35 67 78 27
24 84 77 29 57 97 18 40 42Line 57 printTail 41 18
1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
31 79 34 65 28 82 39 8 27 13 74 24 78 11 71 24 7 56
96 63 74 51 91 11 45 87 31 4 15 84 53 62 73 20 11 3
74 47 70 83 83 34 36 80 68 76 60 47 42 73 49 78 59 64
80 27 65 94 46 76 21 94 20 78 96 52 25 17 92 1 77 1
40 16 27 82 13 17 68 58 84 79 31 95 39 22 81 27 86 59
44 55 6 1 25 2 83 82 50 76 30 30 88 51 73 10 77 57
25 97 41 45 8 76 87 10 7 20 38 46 19 15 74 10 71 86
92 25 8 10 73 10 14 53 25 25 21 38 30 86 99 14 28 17
95 13 3 47 46 5 82 89 49 11 7 62 75 95 4 20 40 22
9 41 95 64 5 80 56 22 37 36 73 50 40 8 56 51 57 15
40 81 53 28 84 57 50 3 84 78 45 45 95 71 68 39 19 74
65 58 18 46 57 64 73 11 27 26 28 15 21 94 56 65 75 68
57 56 77 86 46 73 1 80 38 74 90 1 49 28 85 82 22 53
1 42 47 87 86 50 52 82 45 34 20 72 12 29 46 10 37 76
61 57 80 19 79 35 65 22 59 69 0 4 11 92 32 23 54 70
86 30 45 45 22 96 73 30 11 44 41 52 0 40 4 89 13 74
61 25 32 63 23 70 6 20 36 85 24 75 4 23 45 13 45 82
62 91 57 59 39 24 35 35 64 22 21 3 6 64 4 13 87 79
76 76 77 26 16 66 32 87 85 11 8 27 45 51 6 86 81 69
3 86 64 14 73 86 85 47 51 6 10 22 91 32 68 31 1 49
15 14 5 40 35 39 6 77 93 69 3 10 17 77 79 19 42 35
55 75 41 97 80 18 63 78 30 15 62 18 58 84 82 5 42 15
17 3 11 83 17 46 59 53 90 26 64 76 66 80 50 51 71 66
37 49 54 53 27 7 56 10 90 34 67 90 97 53 73 10 34 85
17 25 81 43 81 49 87 6 46 4 66 45 2 54 1 31 0 98
88 26 46 38 78 51 41 40 99 6 83 84 10 79 87 51 31 32
29 69 50 95 41 71 90 32 23 84 70 96 19 61 37 10 42 27
79 63 33 18 63 69 69 95 40 53 13 34 90 39 51 30 50 44
15 52 93 87 19 75 23 97 42 18 86 21 13 92 8 1 55 79
63 92 75 24 58 58 25 51 88 10 63 99 21 80 43 76 0 76
79 64 54 34 74 30 16 64 18 64 3 66 43 54 11 90 44 25
9 63 88 37 96 38 81 99 7 68 80 58 42 47 30 16 64 10
59 3 73 61 62 52 36 84 0 4 62 7 52 14 65 70 1 44
73 92 50 67 87 90 51 40 57 48 16 84 73 48 92 22 35 47
53 80 92 68 58 5 15 83 70 63 49 3 0 15 1 52 94 12
71 51 80 73 35 98 25 97 21 10 38 6 51 45 76 52 53 88
99 13 17 24 71 67 92 70 21 60 36 9 0 0 35 67 78 27
45 82 53 39 59 68 65 2 10 24 84 77 29 57 97 18 40 42Line 58 printHead 100 100
1x0 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
71 31 79 34 65 28 82 39 8 27 13 74 24 78 11 71 24 7 56
67 96 63 74 51 91 11 45 87 31 4 15 84 53 62 73 20 11 3
16 74 47 70 83 83 34 36 80 68 76 60 47 42 73 49 78 59 64
14 80 27 65 94 46 76 21 94 20 78 96 52 25 17 92 1 77 1
1 40 16 27 82 13 17 68 58 84 79 31 95 39 22 81 27 86 59
55 44 55 6 1 25 2 83 82 50 76 30 30 88 51 73 10 77 57
26 25 97 41 45 8 76 87 10 7 20 38 46 19 15 74 10 71 86
40 92 25 8 10 73 10 14 53 25 25 21 38 30 86 99 14 28 17
87 95 13 3 47 46 5 82 89 49 11 7 62 75 95 4 20 40 22
42 9 41 95 64 5 80 56 22 37 36 73 50 40 8 56 51 57 15
90 40 81 53 28 84 57 50 3 84 78 45 45 95 71 68 39 19 74
88 65 58 18 46 57 64 73 11 27 26 28 15 21 94 56 65 75 68
60 57 56 77 86 46 73 1 80 38 74 90 1 49 28 85 82 22 53
96 1 42 47 87 86 50 52 82 45 34 20 72 12 29 46 10 37 76
15 61 57 80 19 79 35 65 22 59 69 0 4 11 92 32 23 54 70
88 86 30 45 45 22 96 73 30 11 44 41 52 0 40 4 89 13 74
23 61 25 32 63 23 70 6 20 36 85 24 75 4 23 45 13 45 82
77 62 91 57 59 39 24 35 35 64 22 21 3 6 64 4 13 87 79
10 76 76 77 26 16 66 32 87 85 11 8 27 45 51 6 86 81 69
61 3 86 64 14 73 86 85 47 51 6 10 22 91 32 68 31 1 49
46 15 14 5 40 35 39 6 77 93 69 3 10 17 77 79 19 42 35
19 55 75 41 97 80 18 63 78 30 15 62 18 58 84 82 5 42 15
92 17 3 11 83 17 46 59 53 90 26 64 76 66 80 50 51 71 66
11 37 49 54 53 27 7 56 10 90 34 67 90 97 53 73 10 34 85
73 17 25 81 43 81 49 87 6 46 4 66 45 2 54 1 31 0 98
74 88 26 46 38 78 51 41 40 99 6 83 84 10 79 87 51 31 32
69 29 69 50 95 41 71 90 32 23 84 70 96 19 61 37 10 42 27
6 79 63 33 18 63 69 69 95 40 53 13 34 90 39 51 30 50 44
7 15 52 93 87 19 75 23 97 42 18 86 21 13 92 8 1 55 79
87 63 92 75 24 58 58 25 51 88 10 63 99 21 80 43 76 0 76
79 79 64 54 34 74 30 16 64 18 64 3 66 43 54 11 90 44 25
60 9 63 88 37 96 38 81 99 7 68 80 58 42 47 30 16 64 10
89 59 3 73 61 62 52 36 84 0 4 62 7 52 14 65 70 1 44
95 73 92 50 67 87 90 51 40 57 48 16 84 73 48 92 22 35 47
29 53 80 92 68 58 5 15 83 70 63 49 3 0 15 1 52 94 12
57 71 51 80 73 35 98 25 97 21 10 38 6 51 45 76 52 53 88
21 99 13 17 24 71 67 92 70 21 60 36 9 0 0 35 67 78 27
64 45 82 53 39 59 68 65 2 10 24 84 77 29 57 97 18 40 42Line 59 extract 41 81 3 55
Line 60 printHead 100 100
1x0 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
71 31 79 34 65 28 82 39 8 27 13 74 24 78 11 71 24 7 56
67 96 63 74 51 91 11 45 87 31 4 15 84 53 62 73 20 11 3
16 74 47 70 83 83 34 36 80 68 76 60 47 42 73 49 78 59 64
14 80 27 65 94 46 76 21 94 20 78 96 52 25 17 92 1 77 1
1 40 16 27 82 13 17 68 58 84 79 31 95 39 22 81 27 86 59
55 44 55 6 1 25 2 83 82 50 76 30 30 88 51 73 10 77 57
26 25 97 41 45 8 76 87 10 7 20 38 46 19 15 74 10 71 86
40 92 25 8 10 73 10 14 53 25 25 21 38 30 86 99 14 28 17
87 95 13 3 47 46 5 82 89 49 11 7 62 75 95 4 20 40 22
42 9 41 95 64 5 80 56 22 37 36 73 50 40 8 56 51 57 15
90 40 81 53 28 84 57 50 3 84 78 45 45 95 71 68 39 19 74
88 65 58 18 46 57 64 73 11 27 26 28 15 21 94 56 65 75 68
60 57 56 77 86 46 73 1 80 38 74 90 1 49 28 85 82 22 53
96 1 42 47 87 86 50 52 82 45 34 20 72 12 29 46 10 37 76
15 61 57 80 19 79 35 65 22 59 69 0 4 11 92 32 23 54 70
88 86 30 45 45 22 96 73 30 11 44 41 52 0 40 4 89 13 74
23 61 25 32 63 23 70 6 20 36 85 24 75 4 23 45 13 45 82
77 62 91 57 59 39 24 35 35 64 22 21 3 6 64 4 13 87 79
10 76 76 77 26 16 66 32 87 85 11 8 27 45 51 6 86 81 69
61 3 86 64 14 73 86 85 47 51 6 10 22 91 32 68 31 1 49
46 15 14 5 40 35 39 6 77 93 69 3 10 17 77 79 19 42 35
19 55 75 41 97 80 18 63 78 30 15 62 18 58 84 82 5 42 15
92 17 3 11 83 17 46 59 53 90 26 64 76 66 80 50 51 71 66
11 37 49 54 53 27 7 56 10 90 34 67 90 97 53 73 10 34 85
73 17 25 81 43 81 49 87 6 46 4 66 45 2 54 1 31 0 98
74 88 26 46 38 78 51 41 40 99 6 83 84 10 79 87 51 31 32
69 29 69 50 95 41 71 90 32 23 84 70 96 19 61 37 10 42 27
6 79 63 33 18 63 69 69 95 40 53 13 34 90 39 51 30 50 44
7 15 52 93 87 19 75 23 97 42 18 86 21 13 92 8 1 55 79
87 63 92 75 24 58 58 25 51 88 10 63 99 21 80 43 76 0 76
79 79 64 54 34 74 30 16 64 18 64 3 66 43 54 11 90 44 25
60 9 63 88 37 96 38 81 99 7 68 80 58 42 47 30 16 64 10
89 59 3 73 61 62 52 36 84 0 4 62 7 52 14 65 70 1 44
95 73 92 50 67 87 90 51 40 57 48 16 84 73 48 92 22 35 47
29 53 80 92 68 58 5 15 83 70 63 49 3 0 15 1 52 94 12
57 71 51 80 73 35 98 25 97 21 10 38 6 51 45 76 52 53 88
21 99 13 17 24 71 67 92 70 21 60 36 9 0 0 35 67 78 27
64 45 82 53 39 59 68 65 2 10 24 84 77 29 57 97 18 40 42Line 61 drop 0 16 1x34 : true
Line 62 printHead 100 100
1x0 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
71 31 79 34 65 28 82 39 8 27 13 74 24 78 11 71 24 7 56
67 96 63 74 51 91 11 45 87 31 4 15 84 53 62 73 20 11 3
16 74 47 70 83 83 34 36 80 68 76 60 47 42 73 49 78 59 64
14 80 27 65 94 46 76 21 94 20 78 96 52 25 17 92 1 77 1
1 40 16 27 82 13 17 68 58 84 79 31 95 39 22 81 27 86 59
55 44 55 6 1 25 2 83 82 50 76 30 30 88 51 73 10 77 57
26 25 97 41 45 8 76 87 10 7 20 38 46 19 15 74 10 71 86
40 92 25 8 10 73 10 14 53 25 25 21 38 30 86 99 14 28 17
87 95 13 3 47 46 5 82 89 49 11 7 62 75 95 4 20 40 22
42 9 41 95 64 5 80 56 22 37 36 73 50 40 8 56 51 57 15
90 40 81 53 28 84 57 50 3 84 78 45 45 95 71 68 39 19 74
88 65 58 18 46 57 64 73 11 27 26 28 15 21 94 56 65 75 68
60 57 56 77 86 46 73 1 80 38 74 90 1 49 28 85 82 22 53
96 1 42 47 87 86 50 52 82 45 34 20 72 12 29 46 10 37 76
15 61 57 80 19 79 35 65 22 59 69 0 4 11 92 32 23 54 70
88 86 30 45 45 22 96 73 30 11 44 41 52 0 40 4 89 13 74
77 62 91 57 59 39 24 35 35 64 22 21 3 6 64 4 13 87 79
10 76 76 77 26 16 66 32 87 85 11 8 27 45 51 6 86 81 69
61 3 86 64 14 73 86 85 47 51 6 10 22 91 32 68 31 1 49
46 15 14 5 40 35 39 6 77 93 69 3 10 17 77 79 19 42 35
19 55 75 41 97 80 18 63 78 30 15 62 18 58 84 82 5 42 15
92 17 3 11 83 17 46 59 53 90 26 64 76 66 80 50 51 71 66
11 37 49 54 53 27 7 56 10 90 34 67 90 97 53 73 10 34 85
73 17 25 81 43 81 49 87 6 46 4 66 45 2 54 1 31 0 98
74 88 26 46 38 78 51 41 40 99 6 83 84 10 79 87 51 31 32
69 29 69 50 95 41 71 90 32 23 84 70 96 19 61 37 10 42 27
6 79 63 33 18 63 69 69 95 40 53 13 34 90 39 51 30 50 44
7 15 52 93 87 19 75 23 97 42 18 86 21 13 92 8 1 55 79
87 63 92 75 24 58 58 25 51 88 10 63 99 21 80 43 76 0 76
79 79 64 54 34 74 30 16 64 18 64 3 66 43 54 11 90 44 25
60 9 63 88 37 96 38 81 99 7 68 80 58 42 47 30 16 64 10
89 59 3 73 61 62 52 36 84 0 4 62 7 52 14 65 70 1 44
95 73 92 50 67 87 90 51 40 57 48 16 84 73 48 92 22 35 47
29 53 80 92 68 58 5 15 83 70 63 49 3 0 15 1 52 94 12
57 71 51 80 73 35 98 25 97 21 10 38 6 51 45 76 52 53 88
